time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,n_packets,tcp_packets,packet_size,label
1737204103816,2025-01-18 13:41:43,12352.46,3431.06,27.19,7763402752,2516316160,67.6,637,4,691800,Normal
1737204115319,2025-01-18 13:41:55,12360.18,3442.74,27.3,7763402752,2540802048,67.3,401,28,407935,Normal
1737204126902,2025-01-18 13:42:06,12370.11,3452.2,27.41,7763402752,2501242880,67.8,564,17,591473,Normal
1737204138489,2025-01-18 13:42:18,12377.99,3463.86,27.48,7763402752,2492665856,67.9,550,6,560002,Normal
1737204150063,2025-01-18 13:42:30,12386.3,3474.94,27.52,7763402752,2488397824,67.9,388,16,423423,Normal
1737204161648,2025-01-18 13:42:41,12393.68,3487.05,27.58,7763402752,2497884160,67.8,240,3,236281,Normal
1737204173147,2025-01-18 13:42:53,12404.65,3495.41,27.64,7763402752,2514509824,67.6,325,23,306580,Normal
1737204184851,2025-01-18 13:43:04,12414.7,3505.1,27.68,7763402752,2520604672,67.5,540,0,575318,Normal
1737204196371,2025-01-18 13:43:16,12422.67,3516.53,27.74,7763402752,2500911104,67.8,575,10,642650,Normal
1737204208049,2025-01-18 13:43:28,12427.94,3531.31,27.81,7763402752,2473644032,68.1,376,15,382732,Normal
1737204219583,2025-01-18 13:43:39,12438.27,3540.65,27.88,7763402752,2515083264,67.6,634,438,714116,Normal
1737204231352,2025-01-18 13:43:51,12444.24,3554.08,28.18,7763402752,2436374528,68.6,952,795,1157596,Anomaly
1737204242993,2025-01-18 13:44:02,12448.18,3570.06,28.29,7763402752,2464370688,68.3,336,10,385615,Normal
1737204254525,2025-01-18 13:44:14,12450.59,3587.77,28.35,7763402752,2490839040,67.9,538,8,564746,Normal
1737204266027,2025-01-18 13:44:26,12459.35,3598.45,28.42,7763402752,2449911808,68.4,463,0,497910,Normal
1737204277542,2025-01-18 13:44:37,12469.27,3607.97,28.46,7763402752,2444709888,68.5,217,27,194312,Normal
1737204289298,2025-01-18 13:44:49,12478.32,3618.48,28.53,7763402752,2450227200,68.4,657,12,684998,Normal
1737204300857,2025-01-18 13:45:00,12486.36,3629.89,28.6,7763402752,2472329216,68.2,508,30,511607,Normal
1737204312432,2025-01-18 13:45:12,12494.6,3641.08,28.66,7763402752,2452393984,68.4,382,18,368203,Normal
1737204323999,2025-01-18 13:45:23,12502.82,3652.28,28.73,7763402752,2481463296,68.0,597,9,625122,Normal
1737204335582,2025-01-18 13:45:35,12512.45,3662.26,28.79,7763402752,2475388928,68.1,433,10,426233,Normal
1737204347087,2025-01-18 13:45:47,12521.36,3672.67,28.89,7763402752,2496241664,67.8,697,0,749020,Normal
1737204358620,2025-01-18 13:45:58,12529.41,3684.29,28.94,7763402752,2426150912,68.7,825,0,923841,Normal
1737204370194,2025-01-18 13:46:10,12536.02,3697.38,29.04,7763402752,2461958144,68.3,482,31,515811,Normal
1737204381752,2025-01-18 13:46:21,12543.95,3708.75,29.11,7763402752,2460688384,68.3,505,0,539968,Normal
1737204393323,2025-01-18 13:46:33,12552.54,3719.57,29.18,7763402752,2448900096,68.5,513,10,527699,Normal
1737204404913,2025-01-18 13:46:44,12560.9,3730.75,29.25,7763402752,2448564224,68.5,335,0,347233,Normal
1737204416418,2025-01-18 13:46:56,12570.88,3740.18,29.3,7763402752,2457550848,68.3,504,0,597849,Normal
1737204427931,2025-01-18 13:47:07,12580.8,3749.68,29.38,7763402752,2427043840,68.7,372,10,370289,Normal
1737204439524,2025-01-18 13:47:19,12588.14,3761.7,29.44,7763402752,2461282304,68.3,597,10,691781,Normal
1737204451193,2025-01-18 13:47:31,12592.22,3778.01,29.52,7763402752,2446897152,68.5,921,721,1107839,Normal
1737204462892,2025-01-18 13:47:42,12595.14,3794.99,29.68,7763402752,2394808320,69.2,871,857,1053273,Anomaly
1737204474561,2025-01-18 13:47:54,12598.1,3811.2,29.8,7763402752,2347921408,69.8,870,415,909621,Anomaly
1737204486380,2025-01-18 13:48:06,12600.36,3829.18,29.91,7763402752,2377949184,69.4,365,22,379922,Normal
1737204497949,2025-01-18 13:48:17,12606.39,3842.69,29.99,7763402752,2401431552,69.1,173,0,157824,Normal
1737204509445,2025-01-18 13:48:29,12616.47,3851.91,30.04,7763402752,2407948288,69.0,239,0,245861,Normal
1737204520973,2025-01-18 13:48:40,12626.68,3861.1,30.09,7763402752,2409619456,69.0,569,28,571456,Normal
1737204532476,2025-01-18 13:48:52,12636.21,3870.91,30.15,7763402752,2400755712,69.1,479,20,471044,Normal
1737204544049,2025-01-18 13:49:04,12644.54,3882.01,30.21,7763402752,2371887104,69.4,502,28,471430,Normal
1737204555622,2025-01-18 13:49:15,12651.92,3894.26,30.27,7763402752,2403377152,69.0,484,0,571510,Normal
1737204567172,2025-01-18 13:49:27,12659.94,3905.76,30.34,7763402752,2409906176,69.0,470,10,483731,Normal
1737204578851,2025-01-18 13:49:38,12669.81,3915.53,30.43,7763402752,2405736448,69.0,309,38,283540,Normal
1737204590570,2025-01-18 13:49:50,12679.3,3925.71,30.5,7763402752,2354151424,69.7,473,26,489707,Normal
1737204602066,2025-01-18 13:50:02,12687.95,3936.52,30.56,7763402752,2375868416,69.4,518,33,505621,Normal
1737204613579,2025-01-18 13:50:13,12696.12,3947.89,30.61,7763402752,2388221952,69.2,655,28,705376,Normal
1737204625210,2025-01-18 13:50:25,12702.51,3960.89,30.68,7763402752,2417868800,68.9,447,13,449854,Normal
1737204636837,2025-01-18 13:50:36,12712.33,3970.55,30.73,7763402752,2392735744,69.2,513,36,513014,Normal
1737204648411,2025-01-18 13:50:48,12720.65,3981.68,30.81,7763402752,2381099008,69.3,217,12,221227,Normal
1737204659978,2025-01-18 13:50:59,12730.76,3991.02,30.85,7763402752,2375094272,69.4,971,30,1067155,Normal
1737204671518,2025-01-18 13:51:11,12736.45,4005.11,30.96,7763402752,2391670784,69.2,679,0,717839,Normal
1737204683059,2025-01-18 13:51:23,12744.59,4016.36,31.06,7763402752,2391142400,69.2,326,0,332769,Normal
1737204694561,2025-01-18 13:51:34,12754.08,4026.15,31.1,7763402752,2366119936,69.5,570,25,620256,Normal
1737204706070,2025-01-18 13:51:46,12761.95,4037.57,31.16,7763402752,2381627392,69.3,310,0,322113,Normal
1737204717612,2025-01-18 13:51:57,12771.29,4047.5,31.22,7763402752,2386862080,69.3,458,16,471086,Normal
1737204729180,2025-01-18 13:52:09,12778.95,4059.28,31.27,7763402752,2380873728,69.3,216,15,213696,Normal
1737204740677,2025-01-18 13:52:20,12786.6,4071.45,31.32,7763402752,2392248320,69.2,462,12,528490,Normal
1737204752375,2025-01-18 13:52:32,12790.17,4087.76,31.38,7763402752,2336948224,69.9,388,3,410826,Normal
1737204763965,2025-01-18 13:52:43,12798.83,4098.28,31.52,7763402752,2349256704,69.7,430,14,448371,Anomaly
1737204775495,2025-01-18 13:52:55,12803.07,4111.77,31.57,7763402752,2324684800,70.1,341,16,380802,Normal
1737204787220,2025-01-18 13:53:07,12808.34,4126.32,31.67,7763402752,2379866112,69.3,520,0,526124,Normal
1737204798808,2025-01-18 13:53:18,12816.16,4138.07,31.72,7763402752,2409594880,69.0,255,15,234123,Normal
1737204810413,2025-01-18 13:53:30,12825.79,4147.64,31.78,7763402752,2404564992,69.0,332,15,318947,Normal
1737204821986,2025-01-18 13:53:41,12835.21,4157.55,31.83,7763402752,2366799872,69.5,400,0,405577,Normal
1737204833555,2025-01-18 13:53:53,12845.68,4166.47,31.88,7763402752,2370826240,69.5,584,12,653346,Normal
1737204845064,2025-01-18 13:54:05,12854.38,4177.24,31.95,7763402752,2364690432,69.5,517,0,547764,Normal
1737204856583,2025-01-18 13:54:16,12861.76,4189.24,32.05,7763402752,2474774528,68.1,483,0,512853,Normal
1737204868123,2025-01-18 13:54:28,12869.59,4200.79,32.11,7763402752,2473799680,68.1,260,28,239783,Normal
1737204879701,2025-01-18 13:54:39,12880.02,4209.67,32.17,7763402752,2501722112,67.8,472,0,484557,Normal
1737204891266,2025-01-18 13:54:51,12887.45,4221.63,32.23,7763402752,2444759040,68.5,408,22,399884,Normal
1737204902824,2025-01-18 13:55:02,12896.26,4232.21,32.27,7763402752,2479640576,68.1,424,0,432795,Normal
1737204914389,2025-01-18 13:55:14,12905.45,4242.53,32.33,7763402752,2468999168,68.2,471,16,453175,Normal
1737204925889,2025-01-18 13:55:25,12913.36,4253.93,32.4,7763402752,2492620800,67.9,408,12,391093,Normal
1737204937657,2025-01-18 13:55:37,12922.52,4264.52,32.44,7763402752,2477821952,68.1,122,0,106952,Normal
1737204949224,2025-01-18 13:55:49,12932.26,4274.25,32.5,7763402752,2491809792,67.9,320,0,323510,Normal
1737204960767,2025-01-18 13:56:00,12941.8,4284.1,32.53,7763402752,2476744704,68.1,589,0,616238,Normal
1737204972386,2025-01-18 13:56:12,12949.11,4296.41,32.6,7763402752,2489077760,67.9,530,22,548340,Normal
1737204984120,2025-01-18 13:56:24,12951.31,4314.51,32.66,7763402752,2492841984,67.9,566,30,532366,Normal
1737204995995,2025-01-18 13:56:35,12957.7,4328.43,32.75,7763402752,2458828800,68.3,398,78,374507,Anomaly
1737205007651,2025-01-18 13:56:47,12961.02,4344.68,32.91,7763402752,2272137216,70.7,783,589,831374,Anomaly
1737205019286,2025-01-18 13:56:59,12964.33,4360.16,33.02,7763402752,2372915200,69.4,385,0,402523,Normal
1737205030860,2025-01-18 13:57:10,12969.96,4374.21,33.07,7763402752,2456625152,68.4,571,0,628170,Normal
1737205042393,2025-01-18 13:57:22,12977.84,4385.58,33.14,7763402752,2446696448,68.5,276,45,248077,Normal
1737205053973,2025-01-18 13:57:33,12987.22,4395.62,33.19,7763402752,2443038720,68.5,585,22,617626,Normal
1737205065563,2025-01-18 13:57:45,12995.75,4406.47,33.24,7763402752,2445619200,68.5,767,0,803025,Normal
1737205077449,2025-01-18 13:57:57,13004.08,4418.21,33.32,7763402752,2445287424,68.5,480,9,483836,Normal
1737205088981,2025-01-18 13:58:08,13013.23,4428.48,33.39,7763402752,2437447680,68.6,369,12,366992,Normal
1737205100489,2025-01-18 13:58:20,13021.19,4439.75,33.49,7763402752,2440839168,68.6,564,20,576520,Normal
